open,high,low,close
1.13705,1.13772,1.13489,1.13577
1.13577,1.13577,1.13351,1.1337
1.1337,1.13553,1.13339,1.13506
1.135,1.13651,1.13448,1.13497
1.13497,1.13508,1.12787,1.12827
1.12827,1.12992,1.12822,1.12957
1.12969,1.13078,1.12917,1.13055
1.13055,1.13083,1.12943,1.13037
1.13037,1.13069,1.12822,1.13011
1.13011,1.13045,1.12712,1.12792
1.12792,1.13214,1.12765,1.12928
1.12928,1.12932,1.12771,1.12849
1.12845,1.12876,1.1276,1.12846
1.12844,1.12957,1.1284,1.12925
1.12925,1.13099,1.12918,1.13052
1.13049,1.13276,1.1302,1.13228
1.13228,1.13454,1.13201,1.13403
1.13402,1.13434,1.13012,1.13118
1.13114,1.13176,1.13038,1.13155
1.13155,1.13195,1.13059,1.13081
1.13081,1.13083,1.12837,1.13041
1.1304,1.13258,1.13012,1.13112
1.13112,1.13307,1.1289,1.12947
1.12947,1.12987,1.12852,1.12912
1.12914,1.12997,1.12891,1.12996
1.12996,1.13023,1.1294,1.13011
1.13011,1.13164,1.12971,1.13138
1.13135,1.13212,1.12912,1.13008
1.13007,1.13572,1.12978,1.13557
1.13556,1.13638,1.13541,1.13601
1.1352,1.13599,1.13485,1.13492
1.13492,1.13508,1.13309,1.13337
1.13339,1.13435,1.13196,1.13254
1.13254,1.13351,1.12936,1.12958
1.12958,1.13338,1.12836,1.13275
1.13275,1.13301,1.13191,1.13232
1.13227,1.13408,1.13205,1.13355
1.13355,1.13434,1.13335,1.1338
1.1338,1.13513,1.13277,1.13324
1.13324,1.13426,1.1322,1.13249
1.13249,1.1368,1.13119,1.13537
1.13536,1.13748,1.13515,1.1365
1.13654,1.13733,1.13642,1.13702
1.137,1.13784,1.1368,1.13737
1.13737,1.13755,1.13544,1.13667
1.13667,1.14151,1.1354,1.14101
1.14107,1.1446,1.13949,1.14447
1.14447,1.14535,1.1439,1.14429
1.14425,1.14494,1.14372,1.14402
1.14403,1.14486,1.1437,1.14423
1.14425,1.14798,1.14397,1.14726
1.14727,1.1479,1.14545,1.14734
1.14737,1.14829,1.14481,1.14623
1.14623,1.14673,1.1452,1.14556
1.14556,1.1469,1.14522,1.14671
1.14672,1.14839,1.14635,1.14799
1.148,1.14817,1.1458,1.1459
1.1459,1.14618,1.14338,1.14385
1.14385,1.14504,1.13975,1.14011
1.14011,1.14167,1.14002,1.1408
1.14132,1.14154,1.13987,1.14035
1.14035,1.14218,1.14025,1.14182
1.14182,1.14343,1.14113,1.14233
1.14232,1.14262,1.13911,1.14007
1.14007,1.1415,1.13949,1.14112
1.14112,1.14129,1.14041,1.14085
1.14088,1.14201,1.14046,1.14182
1.14182,1.14209,1.13844,1.13962
1.13962,1.1405,1.1385,1.1394
1.13939,1.13985,1.1362,1.13772
1.13771,1.13776,1.13188,1.13209
1.13209,1.13329,1.1313,1.13211
1.1319,1.13286,1.13169,1.13203
1.13203,1.13319,1.13183,1.13284
1.13284,1.1347,1.13255,1.13387
1.13387,1.13497,1.1332,1.13429
1.13429,1.1356,1.13348,1.13431
1.13431,1.13537,1.13407,1.13412
1.134,1.13643,1.13393,1.1359
1.13591,1.13601,1.13444,1.13488
1.13486,1.13682,1.13424,1.13466
1.13465,1.13569,1.13302,1.13506
1.13506,1.13565,1.13253,1.13259
1.13262,1.13283,1.13017,1.13097
1.131,1.13164,1.12996,1.1316
1.1316,1.13338,1.13143,1.13241
1.13242,1.13442,1.13213,1.13383
1.13383,1.13508,1.13246,1.13492
1.13492,1.1359,1.1336,1.13446
1.13447,1.13482,1.13375,1.13404
1.13425,1.13441,1.13317,1.1336
1.1336,1.1337,1.13158,1.13169
1.13168,1.13354,1.13085,1.1324
1.1324,1.13268,1.12937,1.12944
1.12944,1.13281,1.12891,1.13269
1.13269,1.1334,1.13165,1.13239
1.13247,1.1328,1.13152,1.13155
1.13155,1.13172,1.13069,1.13087
1.13087,1.13144,1.1283,1.12862
1.12862,1.12895,1.1265,1.1274
1.1274,1.12875,1.12614,1.12862
1.12862,1.13056,1.12847,1.12994
1.12994,1.13045,1.12931,1.1304
1.1304,1.13094,1.12995,1.13032
1.13032,1.1304,1.12819,1.12852
1.12852,1.12866,1.12701,1.12809
1.12809,1.12949,1.12725,1.12864
1.1287,1.12987,1.12339,1.12376
1.1238,1.12419,1.12288,1.12313
1.12309,1.12316,1.12136,1.12177
1.12177,1.12195,1.11913,1.11943
1.11942,1.11989,1.1132,1.11469
1.11469,1.11599,1.11291,1.11368
1.11369,1.11474,1.11338,1.11448
1.11446,1.11462,1.1136,1.11452
1.11452,1.11538,1.11444,1.11521
1.11521,1.11527,1.11194,1.11306
1.11306,1.11668,1.11234,1.11667
1.11665,1.11716,1.11362,1.11491
1.11493,1.11539,1.11391,1.11472
1.1141,1.1156,1.11361,1.11556
1.11556,1.11638,1.11526,1.1163
1.1163,1.11805,1.11587,1.11726
1.11725,1.11919,1.11443,1.11911
1.11912,1.12183,1.11815,1.12179
1.12179,1.1247,1.12173,1.12339
1.12335,1.12336,1.12198,1.1225
1.1225,1.12442,1.12244,1.12393
1.12393,1.12686,1.12333,1.12606
1.12607,1.12782,1.12526,1.12651
1.12651,1.12737,1.12334,1.1244
1.1244,1.12729,1.12419,1.12696
1.12682,1.12762,1.12674,1.12757
1.12757,1.12773,1.12701,1.12727
1.12727,1.12939,1.1266,1.12926
1.12938,1.13312,1.12901,1.13125
1.13127,1.13223,1.12929,1.13117
1.13117,1.13148,1.13026,1.13037
1.13062,1.13089,1.12935,1.13003
1.13003,1.13086,1.12952,1.13011
1.13011,1.13029,1.1284,1.12844
1.12845,1.13661,1.12672,1.13661
1.13677,1.14535,1.13623,1.1445
1.14449,1.14508,1.14272,1.14407
1.14402,1.14553,1.14332,1.14532
1.14532,1.14734,1.14502,1.14616
1.14616,1.147,1.14409,1.14644
1.14644,1.1485,1.14228,1.14372
1.14374,1.14637,1.14125,1.14554
1.14552,1.14652,1.14486,1.14492
1.14662,1.14662,1.14405,1.14427
1.14427,1.14438,1.14256,1.14316
1.14317,1.14502,1.14162,1.14245
1.14245,1.146,1.14172,1.14408
1.14408,1.14521,1.14184,1.14196
1.14196,1.14449,1.14181,1.1443
1.1443,1.14498,1.14344,1.14368
1.14368,1.14368,1.14161,1.14179
1.14177,1.14242,1.13968,1.14063
1.14063,1.14345,1.14012,1.14094
1.14094,1.14245,1.1404,1.14214
1.14214,1.14247,1.14025,1.1416
1.14161,1.14242,1.14129,1.14239
1.14239,1.14335,1.14227,1.14232
1.14231,1.14288,1.14033,1.14274
1.14274,1.1447,1.14242,1.14366
1.14366,1.14488,1.14263,1.14384
1.14384,1.14419,1.14211,1.14255
1.14255,1.14276,1.14139,1.14203
1.14203,1.14325,1.14185,1.14268
1.14268,1.14472,1.14204,1.14444
1.14444,1.14465,1.13831,1.14089
1.14084,1.14958,1.13757,1.14655
1.14655,1.1476,1.14079,1.14289
1.14289,1.14309,1.13865,1.14033
1.14033,1.14078,1.13759,1.13874
1.13874,1.13989,1.1371,1.13872
1.13872,1.14189,1.13847,1.13914
1.1391,1.14091,1.13806,1.13974
1.13974,1.14003,1.13308,1.13488
1.13375,1.13687,1.13369,1.13532
1.13532,1.13532,1.13399,1.13507
1.13507,1.13513,1.13029,1.13111
1.13111,1.13413,1.12998,1.13143
1.13141,1.13203,1.12907,1.13095
1.13095,1.13134,1.1279,1.13057
1.13057,1.13137,1.1296,1.13098
1.13098,1.13217,1.13084,1.13168
1.13168,1.13495,1.13087,1.13459
1.13459,1.13601,1.13362,1.1356
1.13559,1.13681,1.13198,1.13585
1.13584,1.13644,1.13547,1.13587
1.13587,1.13606,1.13488,1.13518
1.13518,1.13552,1.13447,1.13535
1.13533,1.1396,1.13528,1.1378
1.1378,1.13887,1.1355,1.13632
1.13633,1.13832,1.1353,1.13746
1.13746,1.13962,1.13703,1.13726
1.13729,1.1385,1.13675,1.13819
1.13819,1.13853,1.13228,1.13561
1.13561,1.13864,1.13426,1.1361
1.13608,1.13795,1.13512,1.13589
1.13588,1.13792,1.13502,1.13589
1.1359,1.13668,1.13566,1.13593
1.13593,1.13709,1.13554,1.1368
1.13679,1.13711,1.1361,1.13655
1.13655,1.1377,1.13637,1.13708
1.13709,1.13721,1.13462,1.13485
1.13485,1.13533,1.13139,1.13215
1.13215,1.1335,1.13196,1.13211
1.13183,1.13571,1.13122,1.1353
1.1353,1.1368,1.13524,1.13629
1.13629,1.13909,1.1354,1.13636
1.13636,1.13665,1.13203,1.13287
1.13287,1.13486,1.13242,1.13359
1.13363,1.13424,1.1306,1.13129
1.1313,1.13191,1.12953,1.13029
1.1303,1.13087,1.1287,1.13058
1.13059,1.13361,1.12917,1.1319
1.13192,1.13666,1.13178,1.1341
1.13407,1.13541,1.13247,1.13332
1.13332,1.13406,1.13216,1.13242
1.1332,1.13355,1.1323,1.13343
1.13346,1.13383,1.13194,1.13249
1.13249,1.13587,1.13155,1.13555
1.13554,1.13583,1.13361,1.13513
1.13513,1.13515,1.13052,1.13115
1.13115,1.13115,1.13002,1.13064
1.13093,1.13093,1.12739,1.1292
1.1292,1.12928,1.12066,1.12362
1.12363,1.12607,1.1208,1.12102
1.12101,1.1211,1.11514,1.11602
1.11602,1.11774,1.11049,1.11653
1.11653,1.12201,1.11586,1.11887
1.11888,1.12084,1.11853,1.12025
1.12025,1.12276,1.11977,1.12247
1.12247,1.12247,1.11687,1.11803
1.11803,1.12406,1.11649,1.12359
1.1236,1.12664,1.12179,1.124
1.124,1.12736,1.124,1.12667
1.11252,1.11939,1.11247,1.11704
1.11704,1.11729,1.11414,1.11556
1.11554,1.11992,1.11536,1.1177
1.1177,1.12312,1.1177,1.12118
1.12121,1.1246,1.11967,1.12042
1.12042,1.12229,1.12028,1.12178
1.12184,1.12208,1.1201,1.12012
1.12012,1.12047,1.119,1.11954
1.11954,1.12326,1.11895,1.11955
1.11955,1.11979,1.11392,1.11592
1.11592,1.11611,1.10884,1.11078
1.11078,1.11369,1.10973,1.11243
1.11243,1.11346,1.11168,1.11273
1.11273,1.11308,1.11103,1.11138
1.11141,1.11169,1.10576,1.10812
1.1081,1.11184,1.10749,1.11036
1.11035,1.11423,1.10563,1.11016
1.11015,1.11333,1.1099,1.11171
1.11159,1.11211,1.10931,1.10968
1.10968,1.11056,1.1089,1.11008
1.11008,1.11054,1.10706,1.10788
1.10787,1.1096,1.10636,1.10844
1.10842,1.1094,1.10324,1.10499
1.10499,1.10656,1.10461,1.10652
1.10653,1.10666,1.10089,1.10478
1.10478,1.10481,1.10183,1.10274
1.10274,1.10306,1.10073,1.10129
1.10129,1.10185,1.08838,1.09072
1.09069,1.09263,1.08949,1.09243
1.09244,1.09384,1.09084,1.09232
1.09214,1.09275,1.082,1.08416
1.08417,1.08856,1.0834,1.08754
1.08755,1.08962,1.08487,1.08568
1.0857,1.09239,1.08045,1.08965
1.08963,1.09312,1.08474,1.0874
1.08739,1.08993,1.08445,1.08527
1.08529,1.08794,1.0847,1.08738
1.08738,1.08838,1.08547,1.08585
1.08585,1.09207,1.08501,1.08864
1.08865,1.09199,1.08644,1.09146
1.09142,1.09553,1.08708,1.09412
1.09412,1.09575,1.08935,1.09021
1.09021,1.09192,1.0889,1.09132
1.09132,1.09287,1.09043,1.09152
1.09152,1.0972,1.09086,1.09692
1.09692,1.10159,1.0941,1.10138
1.10139,1.10955,1.10038,1.10923
1.10922,1.10955,1.10621,1.10758
1.10756,1.10785,1.10417,1.10511
1.10511,1.10627,1.10452,1.10589
1.10589,1.10794,1.10257,1.1041
1.10412,1.1121,1.10252,1.10636
1.10644,1.10698,1.09792,1.09898
1.09901,1.09932,1.09755,1.09823
1.09814,1.10185,1.09801,1.09869
1.09873,1.10097,1.09867,1.09983
1.09982,1.1008,1.09594,1.09664
1.09665,1.10428,1.0965,1.09976
1.09976,1.10009,1.0912,1.09153
1.09153,1.09204,1.09012,1.09086
1.09164,1.09381,1.09079,1.09163
1.09163,1.09175,1.08999,1.09104
1.09102,1.09901,1.09085,1.09827
1.09826,1.09846,1.09343,1.0942
1.0942,1.09935,1.09387,1.09744
1.09744,1.09755,1.09303,1.09415
1.09411,1.09553,1.09298,1.09539
1.09539,1.09847,1.09529,1.09825
1.09825,1.10192,1.09665,1.1005
1.1005,1.1005,1.09734,1.09967
1.09967,1.09991,1.09362,1.09375
1.09375,1.09552,1.09254,1.09499
1.09498,1.09734,1.09481,1.09665
1.09665,1.09773,1.09641,1.09768
1.09764,1.10045,1.09553,1.09863
1.09863,1.10244,1.09817,1.09995
1.09995,1.10395,1.0981,1.09818
1.09611,1.10465,1.09495,1.1031
1.10307,1.1052,1.10074,1.10354
1.10357,1.10421,1.10227,1.10228
1.10228,1.10667,1.10216,1.10538
1.10537,1.10704,1.10226,1.10697
1.10698,1.11384,1.1067,1.11279
1.11279,1.11285,1.10889,1.10903
1.1091,1.11187,1.10856,1.10872
1.10872,1.10902,1.10752,1.10834
1.10834,1.1094,1.10525,1.10564
1.10566,1.10595,1.10018,1.10239
1.10238,1.10714,1.10236,1.10583
1.1058,1.10587,1.10418,1.10495
1.10499,1.10571,1.10371,1.10445
1.10445,1.10512,1.10373,1.10412
1.10413,1.10697,1.10342,1.10565
1.10565,1.10578,1.10248,1.10328
1.10328,1.10515,1.10173,1.10299
1.10299,1.10303,1.10095,1.10178
1.10178,1.10248,1.09805,1.09948
1.0995,1.10044,1.09801,1.09808
1.09808,1.10137,1.09602,1.09958
1.09958,1.10422,1.09865,1.10404
1.10407,1.10449,1.10106,1.10226
1.10226,1.10321,1.10196,1.10292
1.10293,1.10429,1.10202,1.10252
1.10253,1.10389,1.10232,1.10364
1.10363,1.1039,1.09877,1.09963
1.09963,1.10061,1.09629,1.09649
1.09649,1.10064,1.09649,1.10051
1.10051,1.10112,1.10019,1.10054
1.10063,1.10133,1.09818,1.09875
1.09875,1.09907,1.0976,1.09769
1.09769,1.10001,1.09714,1.09874
1.09873,1.10004,1.09653,1.09731
1.09727,1.10127,1.09706,1.09931
1.09931,1.10051,1.099,1.0996
1.09967,1.10359,1.09967,1.10332
1.10331,1.10384,1.10241,1.10294
1.10294,1.10311,1.10002,1.10045
1.10045,1.10216,1.09915,1.10109
1.10109,1.10239,1.09802,1.099
1.099,1.09959,1.09798,1.09816
1.09851,1.09858,1.09664,1.09696
1.09696,1.09739,1.09494,1.0953
1.0953,1.09984,1.09434,1.09901
1.09895,1.09927,1.09503,1.09555
1.09556,1.09991,1.09458,1.09937
1.09935,1.09988,1.0974,1.09792
1.09792,1.0997,1.09688,1.0973
1.09729,1.09969,1.09725,1.0985
1.09849,1.10179,1.09785,1.0984
1.09838,1.11295,1.09743,1.1114
1.11138,1.1138,1.10777,1.108
1.10799,1.10944,1.1071,1.10866
1.10866,1.10991,1.10786,1.10978
1.10977,1.11221,1.10973,1.11115
1.11115,1.11575,1.11064,1.11572
1.11571,1.11628,1.11121,1.11254
1.11253,1.11717,1.11198,1.11579
1.11575,1.11631,1.11482,1.11577
1.11577,1.11753,1.11559,1.11746
1.11748,1.11855,1.11579,1.11608
1.11608,1.11762,1.11124,1.11289
1.11289,1.11313,1.10869,1.11016
1.11009,1.11317,1.10675,1.1081
1.10809,1.10928,1.106,1.10658
1.10658,1.10753,1.10585,1.10664
1.10664,1.10722,1.10606,1.10631
1.10631,1.10746,1.10418,1.10598
1.10593,1.10668,1.10355,1.10432
